Licence,Grid Supply Point,Bulk Supply Point,Primary Substation,Proposed Connection Voltage (kV),Connection Status,Total Demand Number,Total Demand Capacity (MW),Total Generation Number,Total Generation Capacity (MW)
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Sneinton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Talbot St 33 11 kV S Stn,11,Connection offers not yet accepted,1,2.499,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,West Bridgford 33 11 kV S Stn,11,Connection offers not yet accepted,2,6.853,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Wollaton Road 33 11 kV S Stn,11,Connection offers not yet accepted,2,6.5,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Toton 3 33 kV S Stn,Toton 11 kV S Stn,11,Connection offers not yet accepted,1,1.421,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Mountsorrel 33 11 kV S Stn,11,Connection offers not yet accepted,1,9,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Syston 33 11 kV S Stn,11,Connection offers not yet accepted,2,2.828,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Willoughby 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Grantham South 132 kV S Stn,Grantham South 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,-,33,Connection offers not yet accepted,1,8,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Fernwood 33 11 kV S Stn,11,Connection offers not yet accepted,1,3.351,1,1.37
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Newark Junction 33 11 kV S Stn,11,Connection offers not yet accepted,2,4.542,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham East 33 kV S Stn,-,33,Connection offers not yet accepted,1,21.57,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham East 33 kV S Stn,Colwick 33 11 kV S Stn,11,Connection offers not yet accepted,1,6,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,-,33,Connection offers not yet accepted,2,27.514,1,2.119
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,Bulwell 33 11 kV S Stn,11,Connection offers not yet accepted,1,2,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,Church St 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,Marlborough Rd 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Marsh Lane 33 11 kV S Stn,11,Connection offers not yet accepted,2,5,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Sleaford Road Boston 33 11 kV S Stn,11,Connection offers not yet accepted,1,4.183,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Stickney 33 11 kV S Stn,11,Connection offers not yet accepted,1,2.3,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Wrangle 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.25,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Holbeach 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.24,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Spalding Clay Lake 11 kV S Stn,11,Connection offers not yet accepted,1,1.55,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Spalding Park Road 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Walpole 132 kV S Stn,Stamford 33 kV S Stn,Wittering 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,West Burton 132 kV S Stn,-,-,132,Connection offers not yet accepted,4,397.39,5,466.29
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Doddington Park 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,North Hykeham 33 11 kV S Stn,11,Connection offers not yet accepted,3,9,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Rookery Lane Lincoln 33 11 kV S Stn,11,Connection offers not yet accepted,1,18.1,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Wragby 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,West Burton 132 kV S Stn,Worksop 33 kV S Stn,-,33,Connection offers not yet accepted,1,8.642,0,0
EMIDS,West Burton 132 kV S Stn,Worksop 33 kV S Stn,Kilton Rd 33 11 kV S Stn,11,Connection offers not yet accepted,2,8.372,0,0
EMIDS,Willington 132 kV S Stn,-,-,132,Connection offers not yet accepted,1,99.9,1,99.9
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,-,33,Connection offers not yet accepted,2,39,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Allenton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.25,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Infinity Park 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.799,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Normanton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.447,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Silverstone 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.75,0,0
EMIDS,Willington 132 kV S Stn,Heanor 33 kV S Stn,Denby 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Willington 132 kV S Stn,Heanor 33 kV S Stn,Heanor 11 kV S Stn,11,Connection offers not yet accepted,1,1.3,0,0
EMIDS,Willington 132 kV S Stn,Spondon B 33 kV S Stn,Trent Lane 33 11 kV S Stn,11,Connection offers not yet accepted,2,2,0,0
EMIDS,Willington 132 kV S Stn,Stanton 33 kV S Stn,Sandiacre 33 11 kV S Stn,11,Connection offers not yet accepted,1,3.105,0,0
EMIDS,Willington 132 kV S Stn,Uttoxeter 33 kV S Stn,Church St 33 11 kV S Stn,11,Connection offers not yet accepted,2,5.438,0,0
EMIDS,Willington 132 kV S Stn,Winster 33 kV S Stn,Ashbourne 33 11 kV S Stn,11,Connection offers not yet accepted,1,2.5,0,0
EMIDS,Willington 132 kV S Stn,Winster 33 kV S Stn,Bakewell 33 11 kV S Stn,11,Connection offers not yet accepted,1,2,0,0
SWALES,Aberthaw Power Station,-,-,132,Budget Estimates Provided,1,80,0,0
SWALES,Aberthaw Power Station,Cardiff West Grid,-,33,Budget Estimates Provided,0,0,4,130
SWALES,Aberthaw Power Station,East Aberthaw,-,33,Budget Estimates Provided,0,0,2,80
SWALES,Aberthaw Power Station,Sully Grid,-,11,Budget Estimates Provided,1,15,2,80
SWALES,Cardiff East Grid,-,-,132,Budget Estimates Provided,2,250,0,0
SWALES,Cardiff East Grid,Cardiff Central Grid,Sandon St.,11,Budget Estimates Provided,1,1.622,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,-,33,Budget Estimates Provided,1,20,1,20
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,Heath,11,Budget Estimates Provided,1,5,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,St Mellons,11,Budget Estimates Provided,1,1.4,1,7.6
SWALES,Cardiff East Grid,Rover Way Grid,Rover Way Primary,11,Budget Estimates Provided,1,10,0,0
SWALES,Pembroke Power Station,-,-,132,Budget Estimates Provided,2,290,2,290
SWALES,Pembroke Power Station,Golden Hill Grid,-,33,Budget Estimates Provided,0,0,2,17
SWALES,Pembroke Power Station,Golden Hill Grid,Golden Hill Primary,11,Budget Estimates Provided,1,12,2,3
SWALES,Pembroke Power Station,Golden Hill Grid,Neyland,11,Budget Estimates Provided,1,2.7,1,1
SWALES,Pembroke Power Station,Golden Hill Grid,St Florence,11,Budget Estimates Provided,0,0,1,5
SWALES,Pembroke Power Station,Haverfordwest Grid,-,33,Budget Estimates Provided,1,25,5,120
SWALES,Pyle Grid,-,-,132,Budget Estimates Provided,2,162.9,6,322.9
SWALES,Pyle Grid,Bridgend Grid,-,33,Budget Estimates Provided,2,37,0,0
SWALES,Pyle Grid,Bridgend Grid,Bridgend Trading Estate,11,Budget Estimates Provided,5,28.045,0,0
SWALES,Pyle Grid,Bridgend Grid,Llangewydd,11,Budget Estimates Provided,1,3.352,0,0
SWALES,Pyle Grid,Pyle Bsp,Pyle Primary,11,Budget Estimates Provided,2,3.5,0,0
SWALES,Rassau G.S.P.,Abergavenny,-,11,Budget Estimates Provided,1,30,3,110
SWALES,Rassau G.S.P.,Abergavenny,Abergavenny Primary,11,Budget Estimates Provided,1,10,2,9.6
SWALES,Rassau G.S.P.,Abergavenny,Brecon,11,Budget Estimates Provided,1,1.36,1,19.36
SWALES,Rassau G.S.P.,Crumlin,-,33,Budget Estimates Provided,0,0,2,80
SWALES,Swansea North Grid 132/33 kV S Stn,-,-,132,Budget Estimates Provided,4,350,7,274.8
SWALES,Swansea North Grid 132/33 kV S Stn,Ammanford Grid,-,33,Budget Estimates Provided,2,45,8,137.6
SWALES,Swansea North Grid 132/33 kV S Stn,Ammanford Grid,Meinciau,11,Budget Estimates Provided,0,0,1,7.6
SWALES,Swansea North Grid 132/33 kV S Stn,Ammanford Grid,Pantyffynon,11,Budget Estimates Provided,0,0,1,7
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,-,33,Budget Estimates Provided,1,150,4,279.9
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Victoria Road,11,Budget Estimates Provided,1,1.6,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Wern,11,Budget Estimates Provided,1,8,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Ynys Street,11,Budget Estimates Provided,1,1.25,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Carmarthen Grid,Trevaughan,11,Budget Estimates Provided,1,1,1,6
SWALES,Swansea North Grid 132/33 kV S Stn,Hirwaun Grid,-,33,Budget Estimates Provided,2,162.9,6,260.4
SWALES,Swansea North Grid 132/33 kV S Stn,Hirwaun Grid,Hirwaun Primary,11,Budget Estimates Provided,1,6.23,1,7.6
SWALES,Swansea North Grid 132/33 kV S Stn,Lampeter Grid,-,33,Budget Estimates Provided,0,0,1,15
SWALES,Swansea North Grid 132/33 kV S Stn,Lampeter Grid,Llanfihangel Ystrad,11,Budget Estimates Provided,0,0,1,7.6
SWALES,Swansea North Grid 132/33 kV S Stn,Llanarth Grid,Aberaeron,11,Budget Estimates Provided,0,0,1,2.5
SWALES,Swansea North Grid 132/33 kV S Stn,Llanarth Grid,Llanarth Primary,11,Budget Estimates Provided,0,0,1,7.6
SWALES,Swansea North Grid 132/33 kV S Stn,Llanelli Grid,-,11,Budget Estimates Provided,0,0,2,30
SWALES,Swansea North Grid 132/33 kV S Stn,Rhos Grid,Cardigan,11,Budget Estimates Provided,2,2.75,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Rhos Grid,Rhos Primary,11,Budget Estimates Provided,0,0,1,2.25
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea North Bsp,-,33,Budget Estimates Provided,1,75,1,20
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea North Bsp,Garngoch,11,Budget Estimates Provided,4,4,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea West Grid,Ravenhill,11,Budget Estimates Provided,2,8.48,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Tir John Power Station,Upper Bank,11,Budget Estimates Provided,2,2,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Ystradgynlais Grid,-,33,Budget Estimates Provided,0,0,3,55.2
SWALES,Upper Boat,-,-,132,Budget Estimates Provided,2,90,5,210
SWALES,Upper Boat,Dowlais Grid,-,33,Budget Estimates Provided,1,20,3,100
SWALES,Upper Boat,Merthyr East Grid,Merthyr East Primary,11,Budget Estimates Provided,0,0,1,10
SWALES,Upper Boat,Mountain Ash Grid,-,33,Budget Estimates Provided,0,0,2,80
SWALES,Upper Boat,Mountain Ash Grid,Mountain Ash,11,Budget Estimates Provided,0,0,1,1.4
SWALES,Upper Boat,Pencoed Grid,-,11,Budget Estimates Provided,0,0,4,155
SWALES,Upper Boat,Pontyclun Primary,Pontyclun 132/11 kV,11,Budget Estimates Provided,0,0,1,7.5
SWALES,Upper Boat,Talbot Green Grid,Talbot Green Primary,11,Budget Estimates Provided,1,3.3,0,0
SWALES,Upper Boat,Upper Boat Bsp,-,33,Budget Estimates Provided,0,0,1,15
SWALES,Uskmouth,-,-,132,Budget Estimates Provided,3,95,4,160
SWALES,Uskmouth,Llantarnam,-,66,Budget Estimates Provided,1,15,3,55
SWALES,Uskmouth,Llantarnam,Llantarnam Primary,11,Budget Estimates Provided,1,1.252,0,0
SWALES,Uskmouth,Llantarnam,Rogerstone Primary,11,Budget Estimates Provided,0,0,1,10
SWALES,Uskmouth,Magor Grid,-,11,Budget Estimates Provided,0,0,2,80
SWALES,Uskmouth,Newport East,-,11,Budget Estimates Provided,1,1.6,0,0
SWALES,Uskmouth,Newport South,-,33,Budget Estimates Provided,1,15,3,104.9
SWALES,Uskmouth,Newport West,Newport West Primary,11,Budget Estimates Provided,1,1,0,0
SWALES,Uskmouth,Panteg 132/11 kV,-,11,Budget Estimates Provided,0,0,2,80
SWALES,Aberthaw Power Station,Cardiff South Bsp,Cardiff South Grid,11,Connection offers accepted,1,5.3,0,0
SWALES,Aberthaw Power Station,Cardiff West Grid,Fairwater,11,Connection offers accepted,1,1,1,1.0307
SWALES,Aberthaw Power Station,Grangetown Grid,Grangetown Grid Primary,11,Connection offers accepted,1,1,0,0
SWALES,Aberthaw Power Station,Sully Grid,Sully Grid Primary,11,Connection offers accepted,1,1,0,0
SWALES,Cardiff East Grid,Cardiff Central Grid,Sandon St.,11,Connection offers accepted,1,1.216,0,0
SWALES,Cardiff East Grid,Cardiff Central Grid,Wood Street,11,Connection offers accepted,2,3.5,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,St Mellons,11,Connection offers accepted,1,1.5,0,0
SWALES,Cardiff East Grid,Rover Way Grid,Rover Way Primary,11,Connection offers accepted,1,5.9,0,0
SWALES,Grange,Grange Bsp,-,66,Connection offers accepted,1,3,1,22
SWALES,Pembroke Power Station,-,-,132,Connection offers accepted,1,50,1,49.9
SWALES,Pembroke Power Station,Haverfordwest Grid,Steynton,11,Connection offers accepted,1,3,0,0
SWALES,Pyle Grid,-,-,132,Connection offers accepted,1,50,2,130
SWALES,Pyle Grid,Bridgend Grid,Bridgend Trading Estate,11,Connection offers accepted,1,1.6,0,0
SWALES,Pyle Grid,Waterton Industrial Grid,Waterton Industrial Primary,11,Connection offers accepted,1,3.8,0,0
SWALES,Rassau G.S.P.,Abergavenny,Abergavenny Primary,11,Connection offers accepted,1,1.5,0,0
SWALES,Rassau G.S.P.,Crumlin,-,11,Connection offers accepted,1,28,1,28
SWALES,Rassau G.S.P.,Crumlin,Cwmfelinfach,11,Connection offers accepted,1,2,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,-,-,132,Connection offers accepted,1,87.8,3,161.8
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Ynys Street,11,Connection offers accepted,1,2.65,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Hirwaun Grid,Aberpergwm,11,Connection offers accepted,1,1.5,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Tir John Power Station,Swansea Waterfront,11,Connection offers accepted,1,3.5,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Tir John Power Station,Tir John Primary,6.6,Connection offers accepted,0,0,1,2.5
SWALES,Swansea North Grid 132/33 kV S Stn,Trostre Grid,-,33,Connection offers accepted,1,25,2,43
SWALES,Swansea North Grid 132/33 kV S Stn,Trostre Grid,Maesarddafen,11,Connection offers accepted,1,1,0,0
SWALES,Upper Boat,-,-,132,Connection offers accepted,1,49.9,1,49.9
SWALES,Upper Boat,Pontyclun Primary,Pontyclun 132/11 kV,11,Connection offers accepted,1,1.685,0,0
SWALES,Upper Boat,Talbot Green Grid,Talbot Green Primary,11,Connection offers accepted,1,1,0,0
SWALES,Upper Boat,Upper Boat Bsp,-,11,Connection offers accepted,0,0,1,7.5
SWALES,Uskmouth,-,-,132,Connection offers accepted,0,0,1,48
SWALES,Uskmouth,Llantarnam,-,11,Connection offers accepted,0,0,1,19.2
SWALES,Uskmouth,Magor Grid,Magor Primary,11,Connection offers accepted,2,3.207,0,0
SWALES,Uskmouth,Newport South,Ringland Newport,11,Connection offers accepted,1,1.35,0,0
SWALES,Uskmouth,Sudbrook,-,11,Connection offers accepted,0,0,1,20
SWALES,Aberthaw Power Station,Cardiff South Bsp,Cardiff South Grid,11,Connection offers not yet accepted,1,4,0,0
SWALES,Aberthaw Power Station,Cardiff West Grid,Fairwater,11,Connection offers not yet accepted,0,0,1,1.0304
SWALES,Aberthaw Power Station,East Aberthaw,East Aberthaw Primary,11,Connection offers not yet accepted,1,1.1,0,0
SWALES,Aberthaw Power Station,Grangetown Grid,Grangetown Grid Primary,11,Connection offers not yet accepted,1,1,0,0
SWALES,Cardiff East Grid,-,-,132,Connection offers not yet accepted,1,135,0,0
SWALES,Cardiff East Grid,Cardiff Central Grid,Wood Street,11,Connection offers not yet accepted,1,2.957,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,Cardiff East Grid Primary,11,Connection offers not yet accepted,2,4,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,Cyncoed,11,Connection offers not yet accepted,1,1,0,0
SWALES,Cardiff East Grid,Cardiff East Grid Bsp,St Mellons,11,Connection offers not yet accepted,1,1,0,0
SWALES,Grange,Grange Bsp,-,11,Connection offers not yet accepted,1,10,0,0
SWALES,Pembroke Power Station,-,-,132,Connection offers not yet accepted,2,446,2,145.9
SWALES,Pembroke Power Station,Haverfordwest Grid,Haverfordwest Power Stn,11,Connection offers not yet accepted,1,2.589,0,0
SWALES,Pembroke Power Station,Milford Haven Grid,-,132,Connection offers not yet accepted,0,0,1,110
SWALES,Pyle Grid,-,-,132,Connection offers not yet accepted,2,149.9,2,189.9
SWALES,Pyle Grid,Bridgend Grid,Bridgend Trading Estate,11,Connection offers not yet accepted,3,8.157,0,0
SWALES,Pyle Grid,Bridgend Grid,Llangewydd,11,Connection offers not yet accepted,2,6.15,0,0
SWALES,Pyle Grid,Bridgend Grid,Schwyll,11,Connection offers not yet accepted,1,3.542,0,0
SWALES,Rassau G.S.P.,Abergavenny,-,66,Connection offers not yet accepted,0,0,1,10
SWALES,Rassau G.S.P.,Abergavenny,Abergavenny Primary,11,Connection offers not yet accepted,2,2.5,0,0
SWALES,Rassau G.S.P.,Abergavenny,Brecon,11,Connection offers not yet accepted,1,1.3,0,0
SWALES,Rassau G.S.P.,Ebbw Vale,Ebbw Vale Primary,11,Connection offers not yet accepted,0,0,1,2.1
SWALES,Swansea North Grid 132/33 kV S Stn,-,-,132,Connection offers not yet accepted,2,250,3,124
SWALES,Swansea North Grid 132/33 kV S Stn,Ammanford Grid,Hendy,11,Connection offers not yet accepted,1,1,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Ammanford Grid,Pantyffynon,11,Connection offers not yet accepted,1,2,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Britton Ferry Primary,11,Connection offers not yet accepted,1,4.2,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Briton Ferry Grid,Ynys Street,11,Connection offers not yet accepted,1,1.6,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Carmarthen Grid,-,33,Connection offers not yet accepted,1,8.5,1,10
SWALES,Swansea North Grid 132/33 kV S Stn,Carmarthen Grid,Cwmffrwd,11,Connection offers not yet accepted,1,1.643,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Carmarthen Grid,St Clears,11,Connection offers not yet accepted,0,0,1,9.9
SWALES,Swansea North Grid 132/33 kV S Stn,Carmarthen Grid,Trevaughan,11,Connection offers not yet accepted,2,2.4,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Hirwaun Grid,-,33,Connection offers not yet accepted,0,0,1,14.1
SWALES,Swansea North Grid 132/33 kV S Stn,Morriston Grid,Morriston Primary,11,Connection offers not yet accepted,6,11.95,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Rhos Grid,-,11,Connection offers not yet accepted,0,0,1,15.3
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea North Bsp,-,33,Connection offers not yet accepted,0,0,1,15
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea North Bsp,Garngoch,11,Connection offers not yet accepted,2,8.3,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Swansea North Bsp,Lime Street Gorseinon,11,Connection offers not yet accepted,1,1,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Tir John Power Station,Llandarcy,11,Connection offers not yet accepted,1,1.6,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Tir John Power Station,Upper Bank,11,Connection offers not yet accepted,1,1.177,0,0
SWALES,Swansea North Grid 132/33 kV S Stn,Ystradgynlais Grid,-,33,Connection offers not yet accepted,1,30,1,60
SWALES,Swansea North Grid 132/33 kV S Stn,Ystradgynlais Grid,Travellers Rest Primary,11,Connection offers not yet accepted,1,1,0,0
SWALES,Upper Boat,-,-,132,Connection offers not yet accepted,1,49.9,1,49.9
SWALES,Upper Boat,Dowlais Grid,-,33,Connection offers not yet accepted,0,0,1,15
SWALES,Upper Boat,Pencoed Grid,Pencoed Primary,11,Connection offers not yet accepted,1,8.16,0,0
SWALES,Upper Boat,Upper Boat Bsp,Caerphilly,11,Connection offers not yet accepted,2,2.2,0,0
SWALES,Upper Boat,Upper Boat Bsp,Creigiau,11,Connection offers not yet accepted,2,3.029,0,0
SWALES,Uskmouth,-,-,132,Connection offers not yet accepted,3,138,2,260
SWALES,Uskmouth,Magor Grid,Magor Primary,11,Connection offers not yet accepted,2,2.207,0,0
SWALES,Uskmouth,Newport South,-,33,Connection offers not yet accepted,1,8,0,0
SWALES,Uskmouth,Newport West,-,11,Connection offers not yet accepted,1,2,0,0
SWEST,Abham  S.G.P.,-,-,132,Budget Estimates Provided,0,0,1,25
SWEST,Abham  S.G.P.,Newton Abbot Bsp (Forde Road),Dawlish,11,Budget Estimates Provided,2,4.31,1,2.5
SWEST,Abham  S.G.P.,Newton Abbot Bsp (Forde Road),Newton Abbot Main,11,Budget Estimates Provided,0,0,1,2.97
SWEST,Abham  S.G.P.,Paignton Bsp,-,33,Budget Estimates Provided,0,0,2,120
SWEST,Abham  S.G.P.,Paignton Bsp,Colley End,11,Budget Estimates Provided,1,1,1,25
SWEST,Abham  S.G.P.,Plymouth Bsp,-,33,Budget Estimates Provided,0,0,2,80
SWEST,Abham  S.G.P.,Plymouth Bsp,Adelaide Road,11,Budget Estimates Provided,2,3.6,0,0
SWEST,Abham  S.G.P.,Plymouth Bsp,Buckwell Street,11,Budget Estimates Provided,1,1,0,0
SWEST,Abham  S.G.P.,Plympton Bsp,Langage,11,Budget Estimates Provided,1,1.6,0,0
SWEST,Abham  S.G.P.,Torquay Bsp,-,33,Budget Estimates Provided,1,6,0,0
SWEST,Abham  S.G.P.,Torquay Bsp,Barton,11,Budget Estimates Provided,1,6,0,0
SWEST,Abham  S.G.P.,Torquay Bsp,Upton Valley,11,Budget Estimates Provided,1,1.884,0,0
SWEST,Abham  S.G.P.,Totnes Bsp,-,33,Budget Estimates Provided,0,0,2,80
SWEST,Abham  S.G.P.,Totnes Bsp,Kingsbridge,11,Budget Estimates Provided,1,1,0,0
SWEST,Alverdiscott  S.G.P.,-,-,132,Budget Estimates Provided,3,82.5,3,82.485
SWEST,Alverdiscott  S.G.P.,Barnstaple Bsp,-,33,Budget Estimates Provided,3,19.528,6,175
SWEST,Alverdiscott  S.G.P.,Barnstaple Bsp,Rock Park,11,Budget Estimates Provided,1,3,0,0
SWEST,Alverdiscott  S.G.P.,East Yelland Bsp,-,33,Budget Estimates Provided,2,25,4,149.99
SWEST,Alverdiscott  S.G.P.,East Yelland Bsp,Braunton,11,Budget Estimates Provided,1,5.88,0,0
SWEST,Alverdiscott  S.G.P.,East Yelland Bsp,Fremington,11,Budget Estimates Provided,0,0,1,4.898
SWEST,Alverdiscott  S.G.P.,North Tawton Bsp,-,33,Budget Estimates Provided,0,0,9,252.9
SWEST,Alverdiscott  S.G.P.,Pyworthy Bsp,-,33,Budget Estimates Provided,2,25,8,299.89
SWEST,Alverdiscott  S.G.P.,Pyworthy Bsp,Clovelly,11,Budget Estimates Provided,1,1.6,0,0
SWEST,Alverdiscott  S.G.P.,Pyworthy Bsp,Lifton,11,Budget Estimates Provided,0,0,1,3
SWEST,Axminster  S.G.P.,Woodcote Bsp,-,33,Budget Estimates Provided,0,0,2,80
SWEST,Bridgwater  S.G.P.,-,-,132,Budget Estimates Provided,0,0,1,30
SWEST,Bridgwater  S.G.P.,Bridgwater Grid Bsp,-,33,Budget Estimates Provided,0,0,1,50
SWEST,Bridgwater  S.G.P.,Bridgwater Grid Bsp,Bath Road Primary,11,Budget Estimates Provided,1,2,0,0
SWEST,Bridgwater  S.G.P.,Bridgwater Grid Bsp,Colley Lane,11,Budget Estimates Provided,1,4,0,0
SWEST,Bridgwater  S.G.P.,Bridgwater Grid Bsp,Somerton,11,Budget Estimates Provided,1,1.15,0,0
SWEST,Bridgwater  S.G.P.,Bridgwater Grid Bsp,Watchfield,11,Budget Estimates Provided,2,2.75,0,0
SWEST,Bridgwater  S.G.P.,Churchill 33 kV,-,33,Budget Estimates Provided,0,0,1,30
SWEST,Bridgwater  S.G.P.,Street Bsp,-,33,Budget Estimates Provided,1,5,3,105
SWEST,Bridgwater  S.G.P.,Street Bsp,Millfield,11,Budget Estimates Provided,1,1,0,0
SWEST,Exeter Main S.G.P.,-,-,132,Budget Estimates Provided,4,47.04,1,49.9
SWEST,Exeter Main S.G.P.,Exeter City Bsp,-,33,Budget Estimates Provided,1,75,3,149.9
SWEST,Exeter Main S.G.P.,Exeter City Bsp,Exminster,11,Budget Estimates Provided,1,6.75,0,0
SWEST,Exeter Main S.G.P.,Exeter City Bsp,Folly Bridge,11,Budget Estimates Provided,0,0,1,3.96
SWEST,Exeter Main S.G.P.,Exeter Main Bsp,-,33,Budget Estimates Provided,1,10,14,497
SWEST,Exeter Main S.G.P.,Exmouth Bsp,Withycombe Raleigh,11,Budget Estimates Provided,1,3.493,0,0
SWEST,Exeter Main S.G.P.,Sowton Bsp,-,33,Budget Estimates Provided,0,0,2,80
SWEST,Exeter Main S.G.P.,Sowton Bsp,Exeter Science Park,11,Budget Estimates Provided,1,4,0,0
SWEST,Exeter Main S.G.P.,Sowton Bsp,Marsh Green,11,Budget Estimates Provided,2,2.563,0,0
SWEST,Exeter Main S.G.P.,Tiverton Bsp,-,33,Budget Estimates Provided,2,25,3,119.99
SWEST,Exeter Main S.G.P.,Tiverton Bsp,Bridge Mills,11,Budget Estimates Provided,0,0,1,3
